lam,seed,n_target_pcs,n_distractor_pcs,n_shared_pcs,var_target,var_distractor,var_shared,var_other,top_target_pc_rank,mean_principal_angle
0,0,4,0,0,0.7579,0.0000,0.0000,0.1842,2,90.0
0,1,4,0,0,0.8929,0.0000,0.0000,0.0763,1,90.0
0,2,4,0,0,0.7990,0.0000,0.0000,0.1841,3,90.0
2,0,5,0,0,0.8867,0.0000,0.0000,0.0666,2,90.0
2,1,5,0,0,0.8949,0.0000,0.0000,0.0599,2,90.0
2,2,4,0,0,0.8643,0.0000,0.0000,0.0842,3,90.0
4,0,5,3,0,0.8662,0.0518,0.0000,0.0277,2,90.0
4,1,4,2,1,0.8175,0.0251,0.0192,0.0933,1,90.0
4,2,5,0,0,0.8721,0.0000,0.0000,0.0462,2,90.0
6,0,5,3,1,0.8124,0.0230,0.0318,0.0305,3,90.0
6,1,5,1,0,0.8601,0.0402,0.0000,0.0474,1,90.0
6,2,4,1,0,0.8034,0.0509,0.0000,0.0875,3,90.0
8,0,4,3,1,0.3276,0.0213,0.0691,0.0817,2,90.0
8,1,5,0,0,0.8740,0.0000,0.0000,0.0738,1,90.0
8,2,4,3,0,0.8035,0.0991,0.0000,0.0395,4,90.0
10,0,4,1,0,0.7245,0.0200,0.0000,0.1938,3,90.0
10,1,5,1,0,0.8735,0.0258,0.0000,0.0459,1,90.0
10,2,5,1,0,0.8464,0.0201,0.0000,0.0727,2,90.0
